,method,number,orbital_period,mass,distance,year,classify,rounded_distance
579,Radial Velocity,3,34.873,0.054,47.3,2011,1,48
580,Radial Velocity,3,2831.6,1.68,47.3,2012,1,48
581,Radial Velocity,1,1733.0,0.266,26.95,2011,1,27
582,Radial Velocity,1,279.8,1.37,90.33,2008,0,91
583,Radial Velocity,1,610.0,2.2,170.07,2009,0,171
586,Radial Velocity,1,123.0,0.45,43.99,2004,0,44
587,Radial Velocity,1,875.5,9.9,352.11,2012,1,353
589,Radial Velocity,1,442.1,1.23,21.29,1998,0,22
591,Radial Velocity,1,2.245715,0.45,52.72,2005,0,53
592,Radial Velocity,1,373.3,2.3,121.8,2009,0,122
593,Radial Velocity,1,951.0,4.5,40.75,2001,0,41
594,Radial Velocity,2,7.2825,0.0087,21.52,2011,1,22
595,Radial Velocity,2,10.866,0.0097,21.52,2011,1,22
596,Radial Velocity,2,191.99,0.101,38.64,2011,1,39
597,Radial Velocity,2,2277.0,0.246,38.64,2011,1,39
598,Radial Velocity,2,3.93,0.017,43.53,2009,0,44
599,Radial Velocity,2,567.0,0.33,43.53,2009,0,44
600,Radial Velocity,1,1311.0,1.26,33.29,2002,0,34
601,Radial Velocity,1,1294.0,2.1,26.52,2002,0,27
602,Radial Velocity,1,118.45,0.65,37.89,2003,0,38
603,Radial Velocity,2,7.126816,1.39,19.72,1998,0,20
604,Radial Velocity,2,4270.0,2.6,19.72,2005,0,20
605,Radial Velocity,1,1319.0,13.0,54.92,2010,0,55
606,Radial Velocity,1,225.7,0.21,29.94,2010,0,30
607,Radial Velocity,1,5501.0,10.39,29.2,2012,1,30
609,Radial Velocity,1,3.8335,0.06,81.1,2007,0,82
610,Radial Velocity,1,672.1,11.1,289.02,2012,1,290
611,Radial Velocity,1,2209.0,1.06,45.23,2012,1,46
612,Radial Velocity,1,3724.7,1.45,48.43,2011,1,49
613,Radial Velocity,1,456.1,3.09,52.88,2007,0,53
614,Radial Velocity,1,3999.0,1.9,50.45,2011,1,51
615,Radial Velocity,1,572.38,7.75,41.95,1999,0,42
616,Radial Velocity,1,26.73,0.71,94.07,2006,0,95
617,Radial Velocity,1,141.6,1.08,108.46,2007,0,109
620,Radial Velocity,1,745.7,5.3,307.69,2011,1,308
621,Radial Velocity,1,2443.0,2.54,54.92,2009,0,55
622,Radial Velocity,1,8.7836,0.0265,9.42,2008,0,10
623,Radial Velocity,1,3.369,0.76,50.2,2004,0,51
624,Radial Velocity,2,345.72,1.42,44.8,2009,0,45
626,Radial Velocity,1,57.0,0.47,23.8,2010,0,24
627,Radial Velocity,1,16.2,1.25,223.21,2010,0,224
628,Radial Velocity,3,6.673855,3.88,52.88,2005,0,53
629,Radial Velocity,3,147.73,1.28,52.88,2006,0,53
630,Radial Velocity,3,952.0,0.57,52.88,2009,0,53
631,Radial Velocity,1,41.397,0.298,11.03,2010,0,12
632,Radial Velocity,3,8.1352,0.036,25.87,2011,1,26
633,Radial Velocity,3,32.03,0.41,25.87,2011,1,26
634,Radial Velocity,3,431.7,0.527,25.87,2011,1,26
636,Radial Velocity,1,124.6,9.18,149.25,2013,1,150
637,Radial Velocity,1,17337.5,9.0,23.98,2009,0,24
638,Radial Velocity,1,511.098,8.82,31.33,2002,0,32
640,Radial Velocity,1,111.7,2.1,14.9,2009,0,15
641,Radial Velocity,1,5.0505,1.068,44.46,2013,1,45
642,Radial Velocity,1,311.288,1.94,17.24,1999,0,18
649,Transit,1,2.7033904,1.47,178.0,2013,1,178
784,Radial Velocity,3,580.0,0.947,135.0,2012,1,135
